Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:50 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:50 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:54 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:57 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:58 -03 2024
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:01 -03 2024
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:01 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:05 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:06 -03 2024
Order, good,-0.30 ,ASK[BINA], 705.900000, 706.605900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:09 -03 2024
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:10 -03 2024
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:13 -03 2024
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:14 -03 2024
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:17 -03 2024
Order, good,-0.26 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:18 -03 2024
Order, good,-0.26 ,ASK[BINA], 705.600000, 706.305600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:18 -03 2024
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:21:19 -03 2024
